,shape_id,shape_pt_sequence,elevation
2762,60-1-d12-1.3.I,37,4
2763,60-1-d12-1.3.I,38,4
2764,60-1-d12-1.3.I,39,4
2765,60-1-d12-1.3.I,40,3
2766,60-1-d12-1.3.I,41,3
2767,60-1-d12-1.3.I,42,3
2768,60-1-d12-1.3.I,43,3
2769,60-1-d12-1.3.I,44,3
2770,60-1-d12-1.3.I,45,3
2771,60-1-d12-1.3.I,46,3
2772,60-1-d12-1.3.I,47,3
2773,60-1-d12-1.3.I,48,3
2774,60-1-d12-1.3.I,49,5
2775,60-1-d12-1.3.I,50,5
2776,60-1-d12-1.3.I,51,5
2777,60-1-d12-1.3.I,52,3
2778,60-1-d12-1.3.I,53,3
2779,60-1-d12-1.3.I,54,3
2780,60-1-d12-1.3.I,55,3
2781,60-1-d12-1.3.I,56,2
2782,60-1-d12-1.3.I,57,2
2783,60-1-d12-1.3.I,58,2
2784,60-1-d12-1.3.I,59,2
2785,60-1-d12-1.3.I,60,4
2786,60-1-d12-1.3.I,61,4
2787,60-1-d12-1.3.I,62,5
2788,60-1-d12-1.3.I,63,5
2789,60-1-d12-1.3.I,64,5
2790,60-1-d12-1.3.I,65,4
2791,60-1-d12-1.3.I,66,4
2792,60-1-d12-1.3.I,67,4
2793,60-1-d12-1.3.I,68,5
2794,60-1-d12-1.3.I,69,8
2795,60-1-d12-1.3.I,70,8
2796,60-1-d12-1.3.I,71,8
2797,60-1-d12-1.3.I,72,8
2798,60-1-d12-1.3.I,73,6
2799,60-1-d12-1.3.I,74,6
2800,60-1-d12-1.3.I,75,7
2801,60-1-d12-1.3.I,76,4
2802,60-1-d12-1.3.I,77,4
2803,60-1-d12-1.3.I,78,6
2804,60-1-d12-1.3.I,79,6
2805,60-1-d12-1.3.I,80,6
2806,60-1-d12-1.3.I,81,7
2807,60-1-d12-1.3.I,82,5
2808,60-1-d12-1.3.I,83,5
2809,60-1-d12-1.3.I,84,5
2810,60-1-d12-1.3.I,85,10
2811,60-1-d12-1.3.I,86,12
2812,60-1-d12-1.3.I,87,10
2813,60-1-d12-1.3.I,88,8
2814,60-1-d12-1.3.I,89,10
2815,60-1-d12-1.3.I,90,10
2816,60-1-d12-1.3.I,91,10
2817,60-1-d12-1.3.I,92,12
2818,60-1-d12-1.3.I,93,12
2819,60-1-d12-1.3.I,94,10
2820,60-1-d12-1.3.I,95,10
2821,60-1-d12-1.3.I,96,10
2822,60-1-d12-1.3.I,97,10
2823,60-1-d12-1.3.I,98,10
2824,60-1-d12-1.3.I,99,10
2825,60-1-d12-1.3.I,100,10
2826,60-1-d12-1.3.I,101,8
2827,60-1-d12-1.3.I,102,8
2828,60-1-d12-1.3.I,103,8
2829,60-1-d12-1.3.I,104,8
2830,60-1-d12-1.3.I,105,8
2831,60-1-d12-1.3.I,106,8
2832,60-1-d12-1.3.I,107,8
2833,60-1-d12-1.3.I,108,13
2834,60-1-d12-1.3.I,109,11
2835,60-1-d12-1.3.I,110,11
2836,60-1-d12-1.3.I,111,13
2837,60-1-d12-1.3.I,112,13
2838,60-1-d12-1.3.I,113,13
2839,60-1-d12-1.3.I,114,13
2840,60-1-d12-1.3.I,115,13
2841,60-1-d12-1.3.I,116,9
2842,60-1-d12-1.3.I,117,9
2843,60-1-d12-1.3.I,118,9
2844,60-1-d12-1.3.I,119,9
2845,60-1-d12-1.3.I,120,10
2846,60-1-d12-1.3.I,121,10
2847,60-1-d12-1.3.I,122,13
2848,60-1-d12-1.3.I,123,13
2849,60-1-d12-1.3.I,124,13
2850,60-1-d12-1.3.I,125,19
2851,60-1-d12-1.3.I,126,19
2852,60-1-d12-1.3.I,127,18
2853,60-1-d12-1.3.I,128,18
2854,60-1-d12-1.3.I,129,19
2855,60-1-d12-1.3.I,130,19
2856,60-1-d12-1.3.I,131,19
2857,60-1-d12-1.3.I,132,19
2858,60-1-d12-1.3.I,133,19
2859,60-1-d12-1.3.I,134,16
2860,60-1-d12-1.3.I,135,16
2861,60-1-d12-1.3.I,136,15
2862,60-1-d12-1.3.I,137,15
2863,60-1-d12-1.3.I,138,15
2864,60-1-d12-1.3.I,139,11
2865,60-1-d12-1.3.I,140,11
2866,60-1-d12-1.3.I,141,11
2867,60-1-d12-1.3.I,142,11
2868,60-1-d12-1.3.I,143,17
2869,60-1-d12-1.3.I,144,17
2870,60-1-d12-1.3.I,145,15
2871,60-1-d12-1.3.I,146,15
2872,60-1-d12-1.3.I,147,15
2873,60-1-d12-1.3.I,148,20
2874,60-1-d12-1.3.I,149,20
2875,60-1-d12-1.3.I,150,20
2876,60-1-d12-1.3.I,151,20
2877,60-1-d12-1.3.I,152,7
2878,60-1-d12-1.3.I,153,7
2879,60-1-d12-1.3.I,154,7
2880,60-1-d12-1.3.I,155,7
